tweets,date,city,user_location,id,link
"Duque si hizo algo por Colombia: 

Duque hundió al Centro Democrático
Duque enterró a Uribe
Duque nos abrió los ojos 
Duque satanizó al esmad y a la policia
Duque glorificó a la primera linea
Duque unió a las barras bravas
Duque puso los ojos del mundo sobre Uribe
#PrimeraLinea",2021-05-20 06:18:58,Cali,Colombia,1395262756799004672,https://twitter.com/i/web/stuatus/1395262756799004672
"@GobiernoBTA @andresidarragaf Que horror! No se cansan de mentir? Lo vimos en vivo más de 10000 personas, cómo se manifestaban pacíficamente y fueron atacados por Esmad y Policía. Los estaban acribillando en los barrios aledaños y no contentos con eso ahora los están capturando!",2021-05-20 06:08:06,Cali,"Bogotá, D.C., Colombia",1395260023643705348,https://twitter.com/i/web/stuatus/1395260023643705348
"Hoy en la multitudinaria movilización en Cali que finalizó en la Loma de la Cruz no hubo vidrios rotos, no hubo enfrentamientos, no hubo estaciones quemadas y negocios destruidos, ¿saben por qué?, exacto, porque no estuvo ni la Policía, ni el ESMAD.",2021-05-20 06:02:42,Cali,"Cali, Valle del Cauca",1395258664051691522,https://twitter.com/i/web/stuatus/1395258664051691522
"@VickyDavilaH @AlvaroUribeVel @IvanDuque esto pasa cuando publicas los asesinatos perpetrados por el Estado a manos de la policia y el esmad, te sensuran..!
 Gran hptas..! https://t.co/DtC9Nv1654",2021-05-20 06:01:12,Cali,"Pradera, Colombia",1395258285477990400,https://twitter.com/i/web/stuatus/1395258285477990400
"Portal de las Américas, anoche entre 10 y 10:30. La zona era un campo de guerra y la violencia es terrible. Llegaron dos tanquetas del Esmad y muchísimos matrimonios (motos con policía y agente del Esmad). https://t.co/vSqmzddwtq",2021-05-20 05:56:58,Cali,"Bogotá, D.C., Colombia",1395257220267495426,https://twitter.com/i/web/stuatus/1395257220267495426
"La alcaldesa, jefa de la Policía y ESMAD, es familia de las avestruces, ''esconden sus cabezas para no ver lo que pasa a sus alrededores'', justificación para no cuidar a nadie...        https://t.co/HN7NPwkkCj",2021-05-20 05:55:31,Cali,"Bogotá, D.C., Colombia",1395256853404307456,https://twitter.com/i/web/stuatus/1395256853404307456
"Ni ahorita ni antes, No es una excusa chimba, que ahora sea más visible es otra cosa, pero los alcaldes no tiene control sobre la policía y mucho menos sobre el ESMAD. https://t.co/jNfI67VJEG",2021-05-20 05:53:42,Cali,"Bogotá, D.C., Colombia",1395256399094034432,https://twitter.com/i/web/stuatus/1395256399094034432
"@donadolforivas Pues en Cali hace poco ataques en 3 puntos de concentración, aqui no manda el alcande, ni la gobernadora, manda la policía, ejército y el esmad ya son 22 noches de terror en muchos barrios de Cali, Jamundí, Yumbo, Palmira, Buga, Cartago",2021-05-20 05:49:49,Cali,Cali,1395255418813927426,https://twitter.com/i/web/stuatus/1395255418813927426
@IvanDuque @FuerzasMilCol @PoliciaColombia @FiscaliaCol Mientras tanto en portal Américas en Bogotá. 20 de mayo 11 pm atacan misión médica por parte del Esmad y la policía. @CorteIDH @ONUHumanRights @ONU_es @Journal_UN_ONU,2021-05-20 05:44:09,Cali,"Bogotá, D.C., Colombia",1395253995921420294,https://twitter.com/i/web/stuatus/1395253995921420294
@RevistaSemana Por que aún está el ESMAD por ahí y la policía no hace nada...haaa cierto que son los mismos. Jajaja,2021-05-20 05:42:37,Cali,"Bogotá, D.C., Colombia",1395253610204778496,https://twitter.com/i/web/stuatus/1395253610204778496
Cómo se puede dormir ....si no cesa la horrible Noche en mi amada Colombia.🐷 y su gobierno de asesinos... policía y esmad ...alcaldes y gobernadores asesinos....no todos porque es de admirar el de Cartagena y santa rosa de cabal...esos si son alcaldes,2021-05-20 05:39:41,Cali,cali,1395252872267370500,https://twitter.com/i/web/stuatus/1395252872267370500
"Si vieron la marcha de hoy, no estuvo el esmad ni la policía, no hubo vandalismo. Todo en paz porque no salieron las 🐀🐀🐀🐀 cali #cali #marchadelmillon https://t.co/6llwrAPtSv",2021-05-20 05:39:39,Cali,cali-colombia,1395252860053454852,https://twitter.com/i/web/stuatus/1395252860053454852
"@amandititita O sea la policía, el ESMAD  y el gobierno solamente duermen mal?😯",2021-05-20 05:38:38,Cali,Colombia,1395252605648056320,https://twitter.com/i/web/stuatus/1395252605648056320
"@Gu2Hail @RadioMalaky339 Tiene de donde aprender a ser hipócrita....''de tal palo tal estilla'' y con jefa cuidadora pero de ESMAD, POLICIA y transmilenio, que se le puede pedir...",2021-05-20 05:35:28,Cali,"Bogotá, D.C., Colombia",1395251811125235719,https://twitter.com/i/web/stuatus/1395251811125235719
"@RevistaSemana @DanielPalam Mientras tanto en portal Américas Bogotá el 20 de mayo a las 11pm, el Esmad y la policía atacan misión médica de los manifestantes. @ONUHumanRights @Margaritarosadf @CorteIDH @JUANCAELBROKY https://t.co/KLs1RmGimY",2021-05-20 05:35:22,Cali,"Bogotá, D.C., Colombia",1395251785602899973,https://twitter.com/i/web/stuatus/1395251785602899973
"@mluciaramirez @infopresidencia @IvanDuque @orozco_angela @ANI_Colombia @InviasOficial @urnadecristal @BluRadioCo @GobValle @elpaiscali @WRadioColombia Difundir ahora @ClaudiaLopez es cómplice de la barbarie acá en Bogotá, ya que el Esmad y la policía atacan misiones médicas en portal Américas 20 de mayo 11pm. https://t.co/MZzqK9Bved",2021-05-20 05:33:46,Cali,"Bogotá, D.C., Colombia",1395251381016137729,https://twitter.com/i/web/stuatus/1395251381016137729
